CBSA Title,FIPS State Code,FIPS County Code,code,coef
"Albany-Schenectady-Troy, NY",36,1,51,0.200219084
"Albany-Schenectady-Troy, NY",36,83,51,0.200219084
"Albany-Schenectady-Troy, NY",36,91,51,0.200219084
"Albany-Schenectady-Troy, NY",36,93,51,0.200219084
"Albany-Schenectady-Troy, NY",36,95,51,0.200219084
"Albuquerque, NM",35,1,62,0.170318917
"Albuquerque, NM",35,43,62,0.170318917
"Albuquerque, NM",35,57,62,0.170318917
"Albuquerque, NM",35,61,62,0.170318917
"Atlanta-Sandy Springs-Alpharetta, GA",13,13,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,15,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,35,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,45,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,57,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,63,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,67,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,77,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,85,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,89,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,97,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,113,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,117,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,121,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,135,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,143,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,149,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,151,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,159,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,171,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,199,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,211,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,217,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,223,13,0.196693767
"Atlanta-Sandy Springs-Alpharetta, GA",13,227,13,0.196693767
