code,population,female_population,median_household_income,0_to_9_years_old,10_to_19_years_old,20_to_29_years_old,30_to_39_years_old,40_to_49_years_old,50_to_59_years_old,60_to_69_years_old,70_to_79_years_old,80_years_old_and_older,total_households,households_whose_annual_income_less_than_10000_dollars,households_whose_annual_income_between_10000_and_50000_dollars,households_whose_annual_income_between_50000_and_200000_dollars,households_whose_annual_income_greater_than_200000_dollars,total_workforce,workforce_in_labor,healthcare_worker,commuting_by_car_or_truck_or_van,commuting_by_public_transportation_except_taxicabs,commuting_by_walk,commuting_by_taxicab_or_motorcycle_or_bicycle_or_other_means,commuting_time_less_than_20_minutes,commuting_time_between_20_and_60_minutes,commuting_time_over_60_minutes,white,black_or_african_american,american_indian_and_alaska_native,asian,non_hispanic_white,hispanic_or_latino,no_schooling_completed,high_schooling_graduate,bachelor's_degree,occupied_housing_units,owner_occupied_housing_units,no_health_insurance_covered
62,904486,459637,0,114477,119273,126470,120427,112337,124036,102069,54858,30539,343268,29266,143113,158644,12245,717863,440880,62923,358635,7023,7019,9575,169482,194016,18754,657584,23647,51906,18562,365994,434783,6812,150557,105041,1101953,1063675,110240
12,4486153,2256865,0,618880,618119,628454,607549,587610,546809,453162,273115,152455,1596641,108889,611743,796793,79216,3489998,2167976,254513,1738690,41994,30178,51282,693807,1048209,120128,3531990,234287,98031,164048,2557281,1354364,41465,691915,560048,5066612,4673697,599821
43,1211826,621035,0,130056,162410,161259,142341,165499,184708,135823,74043,55687,468247,26750,141321,259989,40187,989769,662289,97498,534030,17709,15112,6486,248473,295918,28946,929883,133213,2684,54947,836180,168260,8047,226385,177744,1720008,1666634,66001
36,1943107,964822,0,254290,242922,271102,293583,286994,259100,173816,97738,63562,643969,22980,143110,352076,125803,1540438,1034920,104217,808274,37903,18491,29401,308371,507795,77903,932437,48443,9187,649564,646202,530455,29949,198783,347478,2157397,2080835,150847
32,1571730,806384,0,204468,210368,215407,203727,202349,225194,163736,81995,64486,626504,43181,239846,312858,30619,1241772,833236,125774,680684,27994,21403,10162,323469,385937,30837,1160636,260776,7016,53136,1062323,160677,10520,282211,232864,2546798,2494772,116893
50,1424097,730690,0,179281,180170,199941,186258,188868,200802,159599,81584,47594,531225,37933,209755,259166,24371,1134924,723425,89175,588803,8587,8875,13172,221500,360364,37573,1002166,304877,3246,51957,916463,112757,9394,271164,191533,1374547,1342642,179017
29,1995004,1013366,0,270038,264448,295897,281076,270054,266088,192956,96623,57824,764973,51747,282050,393027,38149,1565741,1059035,145162,881735,16726,21117,13062,391154,501278,40208,1539809,296212,3128,72092,1490434,76429,13166,376606,295666,2632583,2471336,176263
40,1942615,971126,0,269367,255759,313118,318360,276810,230067,162933,75910,40291,706066,39488,226956,385262,54360,1520133,1068402,104243,859041,23350,17074,20951,354649,498125,67642,1528195,142102,7837,102993,1036372,620513,17693,244802,348480,1893053,1749616,287368
54,1154504,574347,0,188501,171054,178016,185238,140782,125740,93585,45156,26432,375127,16589,123360,214080,21098,857626,609195,64351,494742,21883,12409,10700,235573,284195,19966,942742,18699,8633,41840,844619,201131,7201,164577,147258,1257943,1233193,151521
45,1082226,555646,0,121493,143969,153226,123530,137902,160606,124729,69163,47608,430926,29599,171739,213437,16151,879874,560214,86919,453333,11843,17833,6550,244998,226535,18026,879359,124911,3897,30127,835783,73877,7920,200543,135831,1641538,1611392,62665
56,1003338,509770,0,121481,129191,151540,120103,112752,126543,120106,75720,45902,395390,32118,176819,173386,13067,808969,476676,63211,366269,11963,9862,15637,163668,220723,19340,775748,35337,32542,27297,534494,362265,8437,149775,117924,1206365,1155870,121020
52,970603,494209,0,134846,132490,129582,126994,122512,130503,102988,57446,33242,375807,27188,157139,176938,14542,753476,484938,59564,415405,2551,5768,6513,209988,205216,15033,696902,76645,67905,20488,644351,88491,6231,191377,116799,1276581,1248505,144764
49,1235658,637374,0,148542,159630,171179,162617,168563,177800,136674,68772,41881,467490,29831,162140,247744,27775,993386,660432,86779,545327,9404,10324,10174,227050,318417,29762,761709,369483,4288,45132,718167,69798,9998,218093,181483,1423966,1371851,123919
19,2354926,1210718,0,244561,272010,304239,276687,295850,363343,298229,168673,131334,992104,68186,391891,486829,45198,1954561,1225398,197181,967014,61240,37979,13028,425051,569202,85008,2051961,192647,2259,50068,2026929,36903,12689,579447,337161,3722906,3687411,138350
5,6894233,3504186,0,1026945,1003560,967956,1004783,978076,882326,586569,290459,153559,2426882,133923,858491,1266141,168327,5242622,3610068,374704,3022768,50180,41635,53588,1115186,1789390,263595,4791076,1063191,29886,422921,3307014,1951108,73316,987476,963716,8010512,7183081,1266582
18,2924883,1508243,0,325860,339269,365700,357322,386814,418771,354286,227639,149222,1160479,85094,509313,517795,48277,2394434,1429386,188870,1150204,17599,19346,29761,463363,660153,93394,2303233,349574,8988,93820,1902045,521267,24924,613638,381365,3939035,3774906,414665
38,1337075,677895,0,190598,178535,203553,186165,162983,173343,129415,71210,41273,500437,34215,201664,243265,21293,1038076,677080,86369,588586,2620,9832,8256,279476,307092,22726,991052,135828,46970,41748,877375,166370,9202,235644,165025,2014475,1930745,188588
14,3669879,1838769,0,459308,433570,536591,555496,515703,507427,371022,176874,113888,1417226,74542,406103,808429,128152,2949138,2004111,234003,1456074,169655,69208,42607,558686,991100,187758,2607745,204079,32092,455386,2410495,350997,27879,514975,643570,4867570,4743684,320262
63,1243720,637985,0,169844,176450,165029,184147,190197,165567,110153,52860,29473,460183,21239,153831,253083,32030,965462,669907,73992,552557,5993,7342,8160,220606,322031,31415,854526,249748,5175,63449,774150,127593,7510,155270,234154,1108832,1078449,138304
16,4430646,2226595,0,643241,680016,663838,584897,571130,544456,396258,218712,128098,1324638,80624,510786,678160,55068,3381264,2034519,229125,1592602,25455,28394,25683,613967,778788,279379,2776876,325758,37715,285399,1508417,2192072,65818,719496,360405,4102755,3983683,628736
